model,parameters,GFLOPs,"train_time, s","time_per_epoch, s",mAP_50,mAP_50_95,iou
YOLO v11m,20032345,67.7,790,16,0.89,0.65,0.77
fasterrcnn_resnet50_fpn_v2,43712278,280.37,7852.78,157.0,0.89,0.56,0.59
